	SRA	newname
0	SRR6520621	smartseq_BladderTissue_bladder_cell_0
1	SRR6521462	smartseq_BladderTissue_bladder_urothelial_cell_1
2	SRR6519548	smartseq_BladderTissue_bladder_cell_2
3		smartseq_BladderTissue_bladder_cell_3
4		smartseq_BladderTissue_bladder_cell_4
5	SRR6520558	smartseq_BladderTissue_bladder_cell_5
6	SRR6520622	smartseq_BladderTissue_bladder_urothelial_cell_6
7	SRR6521482	smartseq_BladderTissue_bladder_urothelial_cell_7
8	SRR6519563	smartseq_BladderTissue_bladder_urothelial_cell_8
9		smartseq_BladderTissue_bladder_cell_9
10		smartseq_BladderTissue_bladder_cell_10
11	SRR6520575	smartseq_BladderTissue_bladder_urothelial_cell_11
12	SRR6520844	smartseq_BladderTissue_bladder_urothelial_cell_12
13	SRR6519565	smartseq_BladderTissue_bladder_urothelial_cell_13
14		smartseq_BladderTissue_bladder_cell_14
15		smartseq_BladderTissue_bladder_cell_15
16	SRR6520578	smartseq_BladderTissue_bladder_urothelial_cell_16
17	SRR6521066	smartseq_BladderTissue_bladder_urothelial_cell_17
18		smartseq_BladderTissue_bladder_cell_18
19		smartseq_BladderTissue_bladder_cell_19
20	SRR6520580	smartseq_BladderTissue_bladder_urothelial_cell_20
21	SRR6521288	smartseq_BladderTissue_bladder_cell_21
22	SRR6521489	smartseq_BladderTissue_bladder_urothelial_cell_22
23	SRR6519570	smartseq_BladderTissue_bladder_urothelial_cell_23
24		smartseq_BladderTissue_bladder_cell_24
25		smartseq_BladderTissue_bladder_cell_25
26	SRR6520582	smartseq_BladderTissue_bladder_urothelial_cell_26
27	SRR6521319	smartseq_BladderTissue_bladder_cell_27
28	SRR6519572	smartseq_BladderTissue_bladder_urothelial_cell_28
29		smartseq_BladderTissue_bladder_cell_29
30		smartseq_BladderTissue_bladder_cell_30
31	SRR6520584	smartseq_BladderTissue_bladder_urothelial_cell_31
32	SRR6519574	smartseq_BladderTissue_bladder_urothelial_cell_32
33		smartseq_BladderTissue_bladder_urothelial_cell_33
34		smartseq_BladderTissue_bladder_urothelial_cell_34
35	SRR6520586	smartseq_BladderTissue_bladder_urothelial_cell_35
36	SRR6521342	smartseq_BladderTissue_bladder_cell_36
37	SRR6519576	smartseq_BladderTissue_bladder_urothelial_cell_37
38		smartseq_BladderTissue_bladder_urothelial_cell_38
39		smartseq_BladderTissue_bladder_urothelial_cell_39
40	SRR6520589	smartseq_BladderTissue_bladder_urothelial_cell_40
41	SRR6521364	smartseq_BladderTissue_bladder_urothelial_cell_41
42		smartseq_BladderTissue_bladder_urothelial_cell_42
43		smartseq_BladderTissue_bladder_urothelial_cell_43
44	SRR6520591	smartseq_BladderTissue_bladder_urothelial_cell_44
45	SRR6521500	smartseq_BladderTissue_bladder_urothelial_cell_45
46		smartseq_BladderTissue_bladder_urothelial_cell_46
47		smartseq_BladderTissue_bladder_urothelial_cell_47
48	SRR6520593	smartseq_BladderTissue_bladder_urothelial_cell_48
49		smartseq_BladderTissue_bladder_urothelial_cell_49
50	SRR6520595	smartseq_BladderTissue_bladder_urothelial_cell_50
51	SRR6521452	smartseq_BladderTissue_bladder_cell_51
52	SRR6521465	smartseq_BladderTissue_bladder_cell_52
53	SRR6519550	smartseq_BladderTissue_bladder_cell_53
54		smartseq_BladderTissue_bladder_cell_54
55		smartseq_BladderTissue_bladder_cell_55
56	SRR6520560	smartseq_BladderTissue_bladder_cell_56
57		smartseq_BladderTissue_bladder_urothelial_cell_57
58		smartseq_BladderTissue_bladder_urothelial_cell_58
59		smartseq_BladderTissue_bladder_urothelial_cell_59
60		smartseq_BladderTissue_bladder_urothelial_cell_60
61	SRR6520597	smartseq_BladderTissue_bladder_urothelial_cell_61
62		smartseq_BladderTissue_bladder_urothelial_cell_62
63		smartseq_BladderTissue_bladder_urothelial_cell_63
64	SRR6520600	smartseq_BladderTissue_bladder_urothelial_cell_64
65	SRR6521674	smartseq_BladderTissue_bladder_cell_65
66		smartseq_BladderTissue_bladder_cell_66
67		smartseq_BladderTissue_bladder_cell_67
68	SRR6520562	smartseq_BladderTissue_bladder_cell_68
